frame_number,timestamp,faces_count,emotions,activities,anomaly_count,anomaly_types
190,6.333333333333333,1,neutral,"caminhando, dancando",1,elemento_grafico
192,6.4,1,neutral,"caminhando, dancando",1,elemento_grafico
194,6.466666666666667,1,happy,"caminhando, dancando",1,elemento_grafico
196,6.533333333333333,1,happy,"caminhando, dancando, usando_celular",1,elemento_grafico
198,6.6,1,happy,"caminhando, dancando",1,elemento_grafico
200,6.666666666666667,1,happy,"caminhando, dancando, gesticulando",1,elemento_grafico
202,6.733333333333333,1,happy,"caminhando, dancando",2,"careta_exagerada, elemento_grafico"
204,6.8,1,happy,"em_pe, usando_celular",2,"careta_exagerada, elemento_grafico"
206,6.866666666666666,1,happy,"caminhando, dancando",1,elemento_grafico
208,6.933333333333334,1,happy,caminhando,2,"careta_exagerada, elemento_grafico"
210,7.0,1,happy,"caminhando, usando_celular",1,elemento_grafico
212,7.066666666666666,1,happy,"caminhando, usando_celular",1,elemento_grafico
214,7.133333333333334,1,happy,caminhando,1,elemento_grafico
216,7.2,1,neutral,caminhando,1,elemento_grafico
218,7.266666666666667,1,neutral,caminhando,1,elemento_grafico
220,7.333333333333333,1,happy,caminhando,1,elemento_grafico
222,7.4,1,happy,"caminhando, dancando",1,elemento_grafico
224,7.466666666666667,1,happy,em_pe,2,"careta_exagerada, elemento_grafico"
226,7.533333333333333,1,happy,"em_pe, dancando",2,"careta_exagerada, elemento_grafico"
228,7.6,1,happy,em_pe,2,"careta_exagerada, elemento_grafico"
230,7.666666666666667,1,happy,"caminhando, gesticulando",2,"careta_exagerada, elemento_grafico"
232,7.733333333333333,1,happy,caminhando,1,elemento_grafico
234,7.8,1,happy,em_pe,2,"careta_exagerada, elemento_grafico"
236,7.866666666666666,1,happy,caminhando,0,
238,7.933333333333334,1,happy,"caminhando, gesticulando",1,careta_exagerada
240,8.0,1,happy,caminhando,1,careta_exagerada
242,8.066666666666666,1,happy,em_pe,1,careta_exagerada
244,8.133333333333333,1,happy,caminhando,1,careta_exagerada
246,8.2,1,happy,"em_pe, gesticulando",1,careta_exagerada
248,8.266666666666667,1,neutral,"caminhando, gesticulando",0,
250,8.333333333333334,1,neutral,caminhando,1,elemento_grafico
252,8.4,1,neutral,caminhando,1,elemento_grafico
254,8.466666666666667,1,neutral,"em_pe, gesticulando",1,elemento_grafico
256,8.533333333333333,1,neutral,em_pe,0,
258,8.6,1,neutral,"em_pe, gesticulando",0,
260,8.666666666666666,1,neutral,em_pe,1,elemento_grafico
262,8.733333333333333,1,neutral,em_pe,2,"careta_exagerada, elemento_grafico"
264,8.8,1,neutral,em_pe,1,elemento_grafico
266,8.866666666666667,1,happy,em_pe,0,
268,8.933333333333334,1,happy,"em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
270,9.0,1,happy,em_pe,2,"careta_exagerada, elemento_grafico"
272,9.066666666666666,1,happy,"em_pe, gesticulando",1,elemento_grafico
274,9.133333333333333,1,happy,"em_pe, gesticulando",1,careta_exagerada
276,9.2,1,happy,em_pe,1,careta_exagerada
278,9.266666666666667,1,happy,em_pe,2,"careta_exagerada, elemento_grafico"
280,9.333333333333334,1,happy,em_pe,1,careta_exagerada
282,9.4,1,happy,"em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
284,9.466666666666667,1,happy,em_pe,1,careta_exagerada
286,9.533333333333333,1,happy,em_pe,1,careta_exagerada
288,9.6,1,happy,em_pe,1,careta_exagerada
290,9.666666666666666,1,happy,em_pe,2,"careta_exagerada, elemento_grafico"
292,9.733333333333333,1,happy,em_pe,1,careta_exagerada
294,9.8,1,happy,em_pe,1,careta_exagerada
296,9.866666666666667,1,happy,em_pe,1,careta_exagerada
298,9.933333333333334,1,happy,em_pe,1,careta_exagerada
300,10.0,1,happy,caminhando,1,elemento_grafico
302,10.066666666666666,1,happy,em_pe,1,elemento_grafico
304,10.133333333333333,1,happy,"caminhando, gesticulando",1,careta_exagerada
306,10.2,1,happy,em_pe,2,"careta_exagerada, elemento_grafico"
308,10.266666666666667,1,neutral,em_pe,1,elemento_grafico
